slug,ingredient_name,amount,unit,daily_value_pct,form,is_proprietary_blend,blend_name
ez-meal-1,Rice Protein,,,,,TRUE,Proprietary Blend
ez-meal-1,Flaxseed Flour,,,,,TRUE,Proprietary Blend
ez-meal-1,L-Glutamine USP,2.5,g,,,FALSE,
ez-meal-1,Medium Chain Triglycerides,1.5,g,,,FALSE,
ez-meal-1,Alpha Linolenic Acid,1.3,g,,from Flaxseed Flour,FALSE,
fiber-fit-1,Calories,60,,,,FALSE,
fiber-fit-1,Total Fat,1,g,1,,FALSE,
fiber-fit-1,Total Carbohydrate,14,g,5,,FALSE,
fiber-fit-1,Dietary Fiber,11,g,39,,FALSE,
fiber-fit-1,Soluble Fiber,8,g,,,FALSE,
fiber-fit-1,Insoluble Fiber,3,g,,,FALSE,
fiber-fit-1,Total Sugars,2,g,,,FALSE,
fiber-fit-1,Resistant Potato Starch (Solnul®),,,,,TRUE,Microbiome Foundation Blend
fiber-fit-1,"Baobab Fruit Powder (FIBRiSS®, Organic)",,,,,TRUE,Microbiome Foundation Blend
fiber-fit-1,Golden Kiwi Fruit Powder (Livaux®),,,,,TRUE,Microbiome Foundation Blend
fiber-fit-1,Resistant Tapioca Dextrin,,,,,TRUE,Glucobalance Blend
fiber-fit-1,Oat Beta Glucan,,,,,TRUE,Glucobalance Blend
fiber-fit-1,Glucomannan (Amorphophallus konjac Root),,,,,TRUE,Glucobalance Blend
fiber-fit-1,Acacia Fiber (Acacia senegal),,,,,TRUE,Prebiotic Biodiversity Blend
fiber-fit-1,Partially Hydrolyzed Guar Gum (Sunfiber®),,,,,TRUE,Prebiotic Biodiversity Blend
fiber-fit-1,Chia Seed Powder,,,,,TRUE,Prebiotic Biodiversity Blend
fiber-fit-1,Flaxseed Flour,,,,,TRUE,Prebiotic Biodiversity Blend
fiber-fit-1,Arabinogalactan Heartwood (from Larch Tree),,,,,TRUE,Prebiotic Biodiversity Blend
gi-rebuild,Calories,5,,,,FALSE,
gi-rebuild,Total Carbohydrate,<1,g,<1,,FALSE,
gi-rebuild,Total Sugars,<1,g,,,FALSE,
gi-rebuild,Vitamin A,600,mcg,67,"from 2,000 IU as Palmitate",FALSE,
gi-rebuild,Zinc,10,mg,91,as TRAACS® Zinc Bisglycinate Chelate,FALSE,
gi-rebuild,L-Glutamine USP,4,g,,,FALSE,
gi-rebuild,N-Acetyl-D-Glucosamine,500,mg,,,FALSE,
gi-rebuild,Deglycyrrhized Licorice Root Extract,400,mg,,,FALSE,
gi-rebuild,Aloe vera Leaf Gel Extract,75,mg,,,FALSE,
gi-reinforce,Calories,10,,,,FALSE,
gi-reinforce,Cholesterol,<5,mg,1,,FALSE,
gi-reinforce,Protein,2,g,,,FALSE,
gi-reinforce,Sodium,10,mg,<1,,FALSE,
gi-reinforce,Colostrum concentrate,2.5,g,,bovine,FALSE,
gi-reinforce,Immunoglobulin G (IgG),1,g,,,FALSE,
gi-reinforce,Lactoferrin,13,mg,,,FALSE,
